pkg,t_rel_s,action,target,slots(name:rarity:conf)
solo_ingame_chain_20260915_000229_642428,170.7,pick,敏捷,经济:red:0.98|封神:orange:0.52|元素师:blue:0.96|敏捷:orange:0.8
solo_ingame_chain_20260915_000229_642428,177.4,pick,急速,体术:red:0.82|敏捷:orange:0.48|急速:blue:0.95|元素师:purple:0.98
solo_ingame_chain_20260915_000229_642428,184.3,pick,敏捷,敏捷:green:0.9|力量:red:0.9|封神:orange:0.94|箭术:orange:0.93
solo_ingame_chain_20260915_000229_642428,194.6,pick,猎魔人,魔法师:purple:1.0|力量:red:0.9|箭术:orange:0.99|猎魔人:orange:0.96
solo_ingame_chain_20260915_000229_642428,201.3,pick,猎魔人,体术:red:0.82|猎魔人:white:0.86|猎魔人:purple:0.92|魔法师:orange:1.0
solo_ingame_chain_20260915_000229_642428,208.0,pick,猎魔人,猎魔人:green:0.95|猎魔人:green:0.82|魔法师:red:0.99|魔法师:orange:1.0
solo_ingame_chain_20260915_000229_642428,218.1,pick,经济,体术:red:0.82|亡灵:orange:0.79|元素师:blue:0.96|经济:orange:0.98
solo_ingame_chain_20260915_000229_642428,224.9,pick,猎魔人,元素师:white:0.97|猎魔人:green:0.86|魔法师:purple:0.99|元素师:orange:0.98
solo_ingame_chain_20260915_000229_642428,231.6,pick,经济,刀刀:orange:0.69|体术:red:0.68|力量:orange:0.94|经济:orange:0.98
solo_ingame_chain_20260915_000229_642428,241.9,pick,暴击,暴击:green:0.98|:orange:0.4|藏宝图:red:1.0|修仙:orange:0.9
solo_ingame_chain_20260915_000229_642428,248.9,pick,经济,经济:red:0.98|弓神:green:0.67|元素师:blue:0.96|弓神:purple:0.92
solo_ingame_chain_20260915_000229_642428,257.2,pick,弓神,封神:orange:0.84|弓神:green:0.67|魔法师:purple:0.99|体术:purple:0.97
solo_ingame_chain_20260915_000229_642428,265.6,pick,暴击,三国:orange:0.99|箭术:orange:0.95|藏宝图:red:1.0|暴击:purple:0.98
solo_ingame_chain_20260915_000229_642428,272.5,pick,弓神,智力:purple:0.7|贪婪:red:0.95|弓神:orange:0.83|修仙:orange:0.91
solo_ingame_chain_20260915_000229_642428,281.2,pick,挑战,挑战:orange:0.96|挑战:orange:0.98|刀刀:orange:0.9|力量:orange:0.92
solo_ingame_chain_20260915_000229_642428,291.5,refresh,bond_refresh_btn,魔法师:blue:1.0|箭术:orange:0.97|体术:orange:0.92|亡灵:orange:0.99
solo_ingame_chain_20260915_000229_642428,293.7,pick,弓神,箭术:green:0.99|弓神:green:0.61|贪婪:red:0.95|元素师:orange:0.98
solo_ingame_chain_20260915_000229_642428,300.5,pick,挑战,藏宝图:orange:0.95|收割者:orange:1.0|挑战:orange:0.99|体术:orange:0.87
solo_ingame_chain_20260915_000229_642428,309.1,pick,收割者,收割者:green:1.0|收割者:orange:1.0|三国:orange:0.96|元素师:orange:0.98
solo_ingame_chain_20260915_000229_642428,317.8,pick,收割者,贪婪:red:0.95|:orange:0.4|收割者:red:1.0|箭术:orange:0.95
solo_ingame_chain_20260915_000229_642428,324.6,pick,收割者,体术:red:0.82|力量:red:0.9|收割者:red:1.0|三国:orange:0.86
solo_ingame_chain_20260915_000229_642428,340.4,pick,挑战,挑战:orange:0.96|智力:purple:0.46|箭术:orange:0.99|体术:orange:0.94
solo_ingame_chain_20260915_000229_642428,365.4,refresh,bond_refresh_btn,魔法师:orange:1.0|刀刀:orange:0.55|异火:orange:0.93|藏宝图:orange:0.99
solo_ingame_chain_20260915_000229_642428,371.8,refresh,bond_refresh_btn,魔法师:purple:1.0|刀刀:orange:0.54|异火:orange:0.94|藏宝图:orange:0.99
solo_ingame_chain_20260915_000229_642428,378.4,refresh,bond_refresh_btn,魔法师:purple:1.0|刀刀:orange:0.54|异火:orange:0.94|藏宝图:orange:0.98
solo_ingame_chain_20260915_000229_642428,384.4,refresh,bond_refresh_btn,元素师:green:0.97|刀刀:orange:0.54|体术:orange:0.92|体术:orange:0.94
solo_ingame_chain_20260915_000229_642428,389.0,refresh,bond_refresh_btn,元素师:green:0.97|刀刀:orange:0.54|体术:orange:0.92|体术:orange:0.94
solo_ingame_chain_20260915_000229_642428,394.0,refresh,bond_refresh_btn,元素师:green:0.97|刀刀:orange:0.55|体术:orange:0.92|体术:orange:0.94
solo_ingame_chain_20260915_000229_642428,398.9,hide,card_hide,元素师:green:0.97|刀刀:orange:0.55|体术:orange:0.92|体术:orange:0.94
